id {uuid},name  {properties.title},type {properties.type},diocese {properties.diocese},url {links[0].identifier},{links[0].type},{properties.when},founded by {properties.founder},{latitude},{longitude},"{types=[{""identifier"":""http://vocab.getty.edu/aat/300443474"",""label"":""monasteries (institutions)"",""sourceLabels"":[""Monastery""]}]}","{$.@id=""https://w3id.org/locolligo/early-monasteries""}","{$.indexing=""indexing_early-monasteries.json""}"
305,Prüm Abbey,,,https://en.wikipedia.org/wiki/List_of_Merovingian_monasteries,seeAlso,>=720,Bertrada of Prüm and Caribert of Laon,50.206389,6.425833,,,
306,Rebais Abbey,,,https://en.wikipedia.org/wiki/List_of_Merovingian_monasteries,seeAlso,>=640,Audoin of Rouen,48.8475,3.2328,,,
307,Reichenau Abbey,,,https://en.wikipedia.org/wiki/List_of_Merovingian_monasteries,seeAlso,>=724,Pirmin,47.6989,9.0624,,,
308,Abbey of Reuil-en-Brie,,,https://en.wikipedia.org/wiki/List_of_Merovingian_monasteries,seeAlso,>=700,Rado,48.9614,3.1476,,,
309,"Abbey of Saint-Sauveur, Sarlat",,,https://en.wikipedia.org/wiki/List_of_Merovingian_monasteries,seeAlso,>=720,,44.89,1.22,,,
310,Saint-Andoche Abbey,,,https://en.wikipedia.org/wiki/List_of_Merovingian_monasteries,seeAlso,>=592,Brunhilde,46.949,4.2952,,,
311,Saint-Aubin d’Angers,,,https://en.wikipedia.org/wiki/List_of_Merovingian_monasteries,seeAlso,>=616,,47.4681,-0.5532,,,
312,"Saint Bavo Abbey, Ghent",,,https://en.wikipedia.org/wiki/List_of_Merovingian_monasteries,seeAlso,>=630,Amandus,51.0539,3.7361,,,
313,"Sainte Colombe Abbey, Sens",,,https://en.wikipedia.org/wiki/List_of_Merovingian_monasteries,seeAlso,>=620,Chlothar II,48.215437,3.272145,,,
314,Saint Denis Abbey,,,https://en.wikipedia.org/wiki/List_of_Merovingian_monasteries,seeAlso,>=623,Dagobert I,48.935556,2.359722,,,
315,Saint Eloi Abbey,,,https://en.wikipedia.org/wiki/List_of_Merovingian_monasteries,seeAlso,>=645,Eligius,50.3519,2.6939,,,
316,Saint Emmeran Abbey,,,https://en.wikipedia.org/wiki/List_of_Merovingian_monasteries,seeAlso,>=739,,49.015278,12.092778,,,
317,Saint-Germain-des-Prés,,,https://en.wikipedia.org/wiki/List_of_Merovingian_monasteries,seeAlso,>=557,Germanus,48.853889,2.334444,,,
318,Saint Gall Abbey,,,https://en.wikipedia.org/wiki/List_of_Merovingian_monasteries,seeAlso,>=719,Othmar,47.423056,9.377222,,,
319,Abbey of Saint Genevieve,,,https://en.wikipedia.org/wiki/List_of_Merovingian_monasteries,seeAlso,>=502,Chlodowech & Saint Clotilde,48.845889,2.347833,,,
320,Saint Glossinde Abbey,,,https://en.wikipedia.org/wiki/List_of_Merovingian_monasteries,seeAlso,>=604,Glossinde,49.11,6.173,,,
321,St Hubert Abbey,,,https://en.wikipedia.org/wiki/List_of_Merovingian_monasteries,seeAlso,,,50.0265,5.3744,,,
322,Sainte-Marie de Saint-Jean-le-Grand Abbey,,,https://en.wikipedia.org/wiki/List_of_Merovingian_monasteries,seeAlso,>=589,Syagrius of Autun,46.958611,4.300278,,,
323,Saint Martin Abbey,,,https://en.wikipedia.org/wiki/List_of_Merovingian_monasteries,seeAlso,>=589,Syagrius of Autun,46.96,4.307,,,
324,Saint Maurice d'Agaune Abbey,,,https://en.wikipedia.org/wiki/List_of_Merovingian_monasteries,seeAlso,>=515,Sigismund of Burgundy,46.219358,7.003451,,,
325,Saint Medard Abbey,,,https://en.wikipedia.org/wiki/List_of_Merovingian_monasteries,seeAlso,>=557,Chlothar I,49.383056,3.343611,,,
326,Saint Mesmin Abbey,,,https://en.wikipedia.org/wiki/List_of_Merovingian_monasteries,seeAlso,>=508,Euspicius,47.881944,1.868333,,,
327,"Saint Michael Abbey, Mihiel",,,https://en.wikipedia.org/wiki/List_of_Merovingian_monasteries,seeAlso,>=709,Wulfoad?,48.889167,5.541389,,,
328,St Nazaire Abbey,,,https://en.wikipedia.org/wiki/List_of_Merovingian_monasteries,seeAlso,,,46.945,4.2991,,,
329,"Saint Bertin Abbey, Sithiu",,,https://en.wikipedia.org/wiki/List_of_Merovingian_monasteries,seeAlso,>=654,Audomar,50.75122222,2.26410838,,,
330,Saint Peter Abbey,,,https://en.wikipedia.org/wiki/List_of_Merovingian_monasteries,seeAlso,>=620,Romaric,48.015556,6.591389,,,
331,"Saint Peter Abbey, Ghent",,,https://en.wikipedia.org/wiki/List_of_Merovingian_monasteries,seeAlso,>=631,Amandus,51.042139,3.726694,,,
332,"Saint Peter Abbey, Solignac",,,https://en.wikipedia.org/wiki/List_of_Merovingian_monasteries,seeAlso,>=631,Eligius,45.7546,1.27582,,,
333,Saint Pierre de la Couture,,,https://en.wikipedia.org/wiki/List_of_Merovingian_monasteries,seeAlso,>=616,Bertechramn of Le Mans,48.0018,0.2,,,
334,"Saint-Pierre-le-Vif, Sens",,,https://en.wikipedia.org/wiki/List_of_Merovingian_monasteries,seeAlso,>=550,Theudechild,48.197778,3.296111,,,
335,Saint Pierre-le-Bas Abbey,,,https://en.wikipedia.org/wiki/List_of_Merovingian_monasteries,seeAlso,>=600,Leonianus,45.523,4.8707,,,
336,Saint Peter and Saint Paul Abbey,,,https://en.wikipedia.org/wiki/List_of_Merovingian_monasteries,seeAlso,>=661,Austrasian nobles,49.036944,7.942222,,,
